Сезон,Футболист,Гражданство,Клуб
1967/68,Эйсебио,Португалия,Португалия «Бенфика»
1968/69,Петр Жеков,Болгария,Болгария ЦСКА (София)
1969/70,Герд Мюллер,ФРГ,Федеративная Республика Германии (1949—1990) «Бавария»
1970/71,Йосип Скоблар,Югославия,Франция «Олимпик Марсель»
1971/72,Герд Мюллер,ФРГ,Федеративная Республика Германии (1949—1990) «Бавария»
1972/73,Эйсебио,Португалия,Португалия «Бенфика»
1973/74,Эктор Ясальде,Аргентина,Португалия «Спортинг» (Лиссабон)
1974/75,Дуду Джорджеску,Румыния,Румыния «Динамо» (Бухарест)
1975/76,Сотирис Кайафас,Кипр,Республика Кипр «Омония»
1976/77,Дуду Джорджеску,Румыния,Румыния «Динамо» (Бухарест)
1977/78,Ханс Кранкль,Австрия,Австрия «Рапид»
1978/79,Кес Кист,Нидерланды,АЗ’67
1979/80,Эрвин Ванденберг,Бельгия,«Льерс»
1980/81,Георгий Славков,Болгария,«Тракия»
1981/82,Вим Кифт,Нидерланды,«Аякс»
1982/83,Фернанду Гомеш,Португалия,«Порту»
1983/84,Иан Раш,Уэльс,Англия «Ливерпуль»
1984/85,Фернанду Гомеш,Португалия,«Порту»
1985/86,Марко ван Бастен,Нидерланды,«Аякс»
1986/87,Тони Польстер,Австрия,«Аустрия»
1987/88,Танжу Чолак,Турция,«Галатасарай»
1988/89,Дорин Матеуц,Румыния,«Динамо» (Бухарест)
1989/90,Христо Стоичков,Болгария,ЦСКА (София)
1989/90,Уго Санчес,Мексика,«Реал Мадрид»
1990/91,Дарко Панчев,Югославия,«Црвена звезда»
1996/1997,Роналдо,Бразилия,«Барселона»
1997/98,Никос Махлас,Греция,«Витесс»
1998/99,Марио Жардел,Бразилия,«Порту»
1999/00,Кевин Филлипс,Англия,«Сандерленд»
2000/01,Хенрик Ларссон,Швеция,«Селтик»
2001/02,Марио Жардел,Бразилия,«Спортинг» (Лиссабон)
2002/03,Рой Макай,Нидерланды,«Депортиво Ла-Корунья»
2003/04,Тьерри Анри,Франция,«Арсенал»
2004/05,Тьерри Анри,Франция,«Арсенал»
2004/05,Диего Форлан,Уругвай,«Вильярреал»
2005/06,Лука Тони,Италия,«Фиорентина»
2006/07,Франческо Тотти,Италия,«Рома»
2007/08,Криштиану Роналду,Португалия,«Манчестер Юнайтед»
2008/09,Диего Форлан,Уругвай,«Атлетико Мадрид»
2009/10,Лионель Месси,Аргентина,«Барселона»
2010/11,Криштиану Роналду,Португалия,«Реал Мадрид»
2011/12,Лионель Месси,Аргентина,«Барселона»
2012/13,Лионель Месси,Аргентина,«Барселона»
2013/14,Криштиану Роналду,Португалия,«Реал Мадрид»
2013/14,Луис Суарес,Уругвай,«Ливерпуль»
2014/15,Криштиану Роналду,Португалия,«Реал Мадрид»
2015/16,Луис Суарес,Уругвай,«Барселона»
2016/17,Лионель Месси,Аргентина,«Барселона»
2017/18,Лионель Месси,Аргентина,«Барселона»
2018/19,Лионель Месси,Аргентина,«Барселона»
2019/20,Чиро Иммобиле,Италия,«Лацио»
2020/21,Роберт Левандовский,Польша,«Бавария»
2021/22,Роберт Левандовский,Польша,«Бавария»
2022/23,Эрлинг Холанн,Норвегия,«Манчестер Сити»
2023/24,Гарри Кейн,Англия,«Бавария»